Variable,Count,%Missing,Minimum ,1st Quartile,Mean,Median,3rd Quartile,Max,,,,,,,
ID,19547,,1,4972,9914,9914,14856,19799,,,,,,,
LIMIT_BAL,19547,2%,10000,50000,163088,130000,230000,1000000,,,,,,,
SEX,19547,2%,1,,,,,2,,,,,,,
EDUCATION,19547,1%,1,,,,,6,,,,,,,
MARRIAGE,19547,1%,1,,,,,3,,,,,,,
AGE,19547,1%,10,28,35.27,34,41,70,,,,,,,
PAY_0,19547,,-2,,,,,8,,,,,,,
PAY_2,19547,,-2,,,,,8,,,,,,,
PAY_3,19547,,-2,,,,,8,,,,,,,
PAY_4,19547,,-2,,,,,8,,,,,,,
PAY_5,19547,,-2,,,,,8,,,,,,,
PAY_6,19547,,-2,,,,,8,,,,,,,
BILL_AMT_1,19547,,-165580,3693,49899,22494,64830,964511,,,,,,,
BILL_AMT_2,19547,,-33350,3166,48021,21485,62151,983931,,,,,,,
BILL_AMT_3,19547,,-157264,2720,45619,20158,58481,1664089,,,,,,,
BILL_AMT_4,19547,,-170000,2314,41382,18884,50985,891586,,,,,,,
BILL_AMT_5,19547,,-37594,1736,39539,18141,49525,927171,,,,,,,
BILL_AMT_6,19547,,-339603,1217,38186,17077,48691,961664,,,,,,,
PAY_AMT_1,19547,,0,959,5511,2085,5000,505000,,,,,,,
PAY_AMT_2,19547,,0,731.5,5721.6,2000,5000,1684259,,,,,,,
PAY_AMT_3,19547,,0,320,4681,1581,4026,896040,,,,,,,
PAY_AMT_4,19547,,0,235.5,4726.2,1498,4000,497000,,,,,,,
PAY_AMT_5,19547,,0,225.5,4751,1500,4000,417990,,,,,,,
PAY_AMT_6,19547,,0,18,5049,1410,4000,528666,,,,,,,
default.payment.next.month,19547,,0,,,,,1,,,,,,,
